Name,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,Magic1,Magic2,PEG
ASN,3.4,0.0,45100.0,155.0,648.0,68.11,2.19,0.91,0.08,0.05,4.56,3.2,3.48,2.36,25.54,1111.0,996.0,4.68
ASP,3.04,0.0,600700.0,1828.0,6401.0,13.08,1.36,2.45,0.07,0.23,3.21,10.27,15.18,13.16,73.81,511.0,731.0,0.72
ASW,8.3,1.22,183400.0,1516.0,7106.0,7.85,1.37,1.83,0.40,1.06,10.4,18.65,17.52,5.06,32.14,204.0,265.0,
ATP30,1.43,1.42,769900.0,1084.0,989.0,25.28,1.96,1.3,0.03,0.06,5.95,7.86,6.23,2.10,50.35,767.0,733.0,1.87
AU,12.0,1.69,830000.0,9879.0,9706.0,101.49,10.92,0.34,,0.12,11.07,11.36,12.05,,35.24,847.0,745.0,-8.14
AUCT,10.5,7.14,8162200.0,84986.0,5720.0,22.77,10.30,2.26,0.15,0.46,18.8,45.96,26.36,4.29,30.27,392.0,432.0,1.29
AURA,18.7,-1.06,8772300.0,164861.0,0.0,,-,,-,0.0,,,,-,36.15,,,
AWC,5.85,0.0,39219500.0,229393.0,187205.0,54.82,2.30,0.76,0.01,0.11,3.84,4.28,40.12,0.18,24.97,1056.0,1018.0,-0.55
AYUD,41.25,-1.2,18500.0,768.0,16057.0,17.11,1.61,1.06,5.14,2.41,4.16,7.07,15.76,3.73,21.47,693.0,744.0,0.29
B,0.42,2.44,7236900.0,2969.0,1419.0,25.89,0.68,0.11,,0.02,3.41,3.47,19.42,,88.43,948.0,914.0,-0.38
B52,2.16,-0.92,38200.0,82.0,1607.0,,6.41,0.52,,0.0,-45.9,-59.8,-101.68,,40.26,,,
BA,13.7,-1.44,3839300.0,52420.0,28770.0,,1.71,2.7,,0.0,-2.04,-16.05,-27.83,,38.18,,,
BAFS,33.0,-2.22,736500.0,24451.0,21037.0,,4.61,3.0,,0.0,-0.36,-9.73,-14.14,,52.2,,,
BAM,15.5,0.0,13308900.0,206380.0,50420.0,17.72,1.18,2.01,0.55,0.88,2.25,6.73,25.23,3.55,54.2,717.0,866.0,-11.17
BANPU,11.1,1.83,76172900.0,841254.0,94687.0,2.14,0.68,2.23,0.45,5.24,20.82,49.04,21.24,2.88,90.17,17.0,48.0,-0.06
BAY,30.0,0.0,188500.0,5660.0,218834.0,7.37,0.66,6.75,0.40,4.04,1.18,9.23,26.94,2.83,23.12,410.0,698.0,0.58
BBGI,6.45,1.57,314100.0,2016.0,9327.0,456.8,0.96,0.37,0.05,0.01,1.42,0.25,0.15,3.88,31.82,1252.0,1225.0,-14.61
BBIK,115.5,3.59,374700.0,43227.0,11750.0,99.91,19.49,0.28,0.38,1.18,20.8,20.94,22.61,0.32,38.12,684.0,619.0,-13.41
BBL,165.0,2.8,9049000.0,1484458.0,314005.0,11.2,0.62,7.67,1.50,14.69,0.65,5.63,21.31,2.12,98.55,646.0,830.0,3.9
BC,1.43,-1.38,24600.0,35.0,843.0,,1.32,8.18,,0.0,-1.56,-21.1,-91.59,,29.34,,,
BCH,21.4,0.94,4082700.0,87103.0,53366.0,10.17,4.38,0.7,0.40,2.1,30.75,46.15,17.18,5.61,50.01,151.0,145.0,0.1
BCP,34.5,1.47,3564800.0,122361.0,48537.0,3.47,0.77,2.3,1.25,10.15,13.2,20.05,4.0,5.76,64.25,100.0,102.0,-0.02
BCPG,10.0,3.63,6242900.0,62129.0,29077.0,11.31,0.98,0.93,0.20,0.88,6.99,9.35,55.29,3.18,42.4,505.0,471.0,1.7
BCT,55.75,1.36,12700.0,706.0,16650.0,3.96,0.61,0.06,1.65,14.01,17.29,16.53,30.25,2.96,20.87,183.0,91.0,
BDMS,30.0,0.0,12769500.0,382579.0,472787.0,38.98,5.50,0.48,0.30,0.76,12.64,14.55,13.72,1.50,68.25,676.0,614.0,5.3
BE8,59.0,2.61,1756100.0,102472.0,12607.0,113.73,9.97,0.39,0.06,0.52,11.06,16.1,18.86,0.09,34.98,750.0,750.0,2.12
BEAUTY,1.38,0.73,5616800.0,7649.0,4102.0,,5.71,0.24,,0.0,-7.85,-8.54,-21.1,,78.28,,,
BEC,9.55,0.53,1949700.0,18497.0,18900.0,25.08,3.10,0.59,0.25,0.38,10.97,12.55,11.67,2.62,38.35,621.0,558.0,-0.1
BEM,9.3,1.64,22531700.0,208479.0,141386.0,63.44,3.74,2.08,0.08,0.15,4.28,5.89,16.96,0.86,53.67,1020.0,1007.0,-15.41
BEYOND,14.8,-1.33,748800.0,11103.0,4506.0,32.63,0.75,1.17,,0.48,4.65,2.35,-32.03,,50.08,1024.0,874.0,-0.26
BFIT,32.75,0.0,0.0,0.0,18053.0,32.36,1.91,,0.82,1.01,,,,2.67,,,,0.37
BGC,10.1,0.0,265700.0,2677.0,7014.0,13.79,1.57,2.23,0.10,0.73,3.73,11.44,3.99,4.75,27.33,474.0,703.0,0.48
BGRIM,40.0,-1.23,7181900.0,286847.0,102321.0,,3.25,3.87,0.03,0.0,3.42,-1.65,-1.44,1.05,31.33,,,
BGT,1.16,1.75,947300.0,1109.0,433.0,,1.17,1.33,,0.0,1.02,-3.17,-8.38,,44.72,,,
BH,216.0,-0.46,2481000.0,536670.0,172490.0,34.97,8.76,0.23,2.35,6.21,26.83,26.7,23.57,1.62,50.7,527.0,482.0,-2.78
BIG,0.68,1.49,311000.0,208.0,2364.0,40.33,1.43,0.61,,0.02,2.82,3.57,2.79,,30.74,1039.0,1040.0,-0.18
