Name,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,Magic1,Magic2,PEG
TGPRO,0.26,-3.7,2612100.0,682.0,1274.0,17.12,0.59,0.59,,0.02,3.31,3.48,3.26,,61.8,813.0,786.0,-0.01
TH,2.24,5.66,14210900.0,31301.0,2196.0,9.17,1.39,0.05,,0.24,19.59,17.33,61.38,,51.67,260.0,164.0,-0.14
THAI,3.32,0.0,0.0,0.0,0.0,,,-3.22,0.5,0.0,2.55,13.63,-15.39,,52.14,,,
THANA,2.56,0.0,396200.0,1026.0,710.0,10.07,1.43,1.52,0.05,0.25,7.77,17.77,9.14,,30.81,272.0,415.0,-0.41
THANI,4.06,1.5,8925200.0,36032.0,22879.0,13.06,1.91,3.48,0.17,0.31,3.6,16.04,42.27,4.19,29.85,373.0,705.0,0.82
THCOM,15.8,1.28,3561800.0,56371.0,17428.0,412.87,1.65,0.4,0.50,0.04,4.26,3.69,20.7,3.16,58.86,1139.0,1061.0,-1.24
THE,1.57,1.29,102000.0,158.0,1730.0,13.5,0.76,1.64,0.10,0.12,3.24,5.67,-1.69,12.74,32.07,685.0,732.0,-0.04
THG,69.25,0.73,2431200.0,167993.0,58899.0,29.48,5.91,1.19,0.30,2.36,12.75,21.72,14.38,1.30,41.88,528.0,554.0,0.06
THIP,33.25,0.0,63000.0,2062.0,2970.0,8.18,1.18,0.25,1.75,4.04,18.89,19.79,9.86,5.26,30.85,205.0,140.0,1.6
THL,0.46,0.0,0.0,0.0,0.0,,,0.4,1,0.04,-25.94,-33.82,-484.53,,56.41,,,
THMUI,0.95,-1.04,184600.0,173.0,323.0,383.33,0.90,0.73,,0.0,0.9,0.23,-2.48,,37.04,1250.0,1254.0,-6.8
THRE,1.12,4.67,7071000.0,7900.0,4679.0,,1.50,1.22,,0.0,-5.03,-11.43,-6.69,,50.69,,,
THREL,5.2,1.96,574400.0,2960.0,3120.0,20.36,2.19,0.94,0.08,0.26,5.46,10.73,6.35,2.31,88.41,616.0,700.0,-1.18
TIDLOR,28.75,3.6,15100000.0,435091.0,70550.0,19.38,2.87,2.22,0.27,1.46,5.14,15.66,25.88,0.88,44.51,496.0,723.0,
TIGER,1.66,-1.19,355600.0,581.0,750.0,45.25,1.28,0.45,0.06,0.04,2.71,2.81,1.68,3.31,27.9,1081.0,1059.0,-2.34
TIPCO,9.15,2.23,507100.0,4638.0,4560.0,17.38,1.02,0.45,0.19,0.54,4.56,5.95,6.31,8.42,49.99,737.0,711.0,-0.11
TIPH,50.0,3.63,1818100.0,89722.0,29566.0,30.33,3.45,5.1,0.50,1.64,1.99,10.96,6.94,,54.3,720.0,1028.0,
TISCO,101.0,0.0,3491300.0,353180.0,80865.0,11.21,1.97,5.24,7.15,9.01,2.88,17.93,40.24,7.08,77.42,300.0,707.0,1.57
TITLE,2.06,-0.96,963500.0,1972.0,1458.0,138.71,2.35,0.96,,0.01,1.9,1.72,6.25,,34.59,1191.0,1184.0,0.79
TK,7.95,0.63,1892600.0,14885.0,3975.0,9.06,0.69,0.16,0.50,0.88,6.53,7.77,21.07,6.29,24.49,497.0,430.0,2.16
TKC,22.1,-3.07,2424500.0,54905.0,6810.0,39.65,3.85,0.46,0.20,0.57,10.07,13.96,9.02,1.36,31.72,677.0,679.0,-2.81
TKN,11.0,0.0,3774600.0,41157.0,15180.0,38.14,7.38,0.55,0.08,0.29,13.47,20.04,9.85,1.27,42.1,595.0,592.0,-1.52
TKS,13.1,3.97,4354000.0,56527.0,6508.0,9.01,1.45,0.3,0.12,1.42,13.98,17.39,41.68,2.78,57.98,253.0,210.0,0.12
TKT,2.94,1.38,10919100.0,31778.0,1017.0,31.32,1.06,1.66,,0.09,4.54,6.02,2.13,,43.12,908.0,887.0,-0.22
TLI,14.0,-1.41,5000200.0,70406.0,160300.0,19.51,1.79,5.13,,0.72,1.95,11.93,10.31,,21.89,562.0,911.0,
TM,2.66,-1.48,234500.0,628.0,825.0,55.0,1.93,0.94,0.09,0.05,2.86,3.46,1.75,3.20,43.54,1080.0,1075.0,7.62
TMC,3.64,1.11,4353400.0,15831.0,1771.0,25.6,4.44,0.96,,0.15,10.79,18.9,26.09,,61.47,502.0,549.0,-1.9
TMD,24.9,0.4,22700.0,563.0,3735.0,11.51,1.23,0.08,1.60,2.16,11.7,10.87,13.66,6.45,34.29,457.0,319.0,2.86
TMI,1.65,0.0,1139400.0,1878.0,1115.0,44.18,5.03,2.06,,0.04,5.58,12.14,5.79,,37.16,744.0,870.0,-0.2
TMILL,4.0,1.01,171500.0,681.0,1595.0,15.9,1.45,0.35,0.08,0.25,7.97,9.19,6.31,5.25,28.66,606.0,528.0,1.35
TMT,8.15,1.88,130400.0,1051.0,7010.0,19.07,2.18,1.78,0.15,0.42,5.8,10.8,1.19,15.95,22.5,603.0,667.0,0.46
TMW,41.5,-1.19,9200.0,382.0,1686.0,9.58,0.63,0.3,0.90,4.41,4.48,4.91,5.37,2.17,21.92,623.0,564.0,0.48
TNDT,0.48,4.35,4435100.0,2141.0,396.0,,0.75,1.36,,0.0,-1.51,-11.99,-26.8,5.69,57.06,,,
TNH,37.5,0.0,0.0,0.0,6750.0,18.85,2.64,0.19,0.60,1.99,15.21,14.77,12.32,1.61,37.12,496.0,397.0,0.19
TNITY,7.55,0.67,104400.0,786.0,1640.0,8.34,0.98,3.12,0.18,0.92,2.99,11.69,19.28,13.25,61.93,337.0,623.0,0.18
TNL,33.0,-0.75,400.0,13.0,7006.0,113.66,1.00,0.13,0.50,0.29,3.29,2.21,5.41,0.60,25.02,1167.0,1103.0,1.66
TNP,3.96,2.06,189000.0,738.0,3216.0,20.04,3.38,0.32,0.04,0.2,16.79,17.78,5.95,2.53,27.7,456.0,391.0,0.67
TNPC,2.02,1.0,87500.0,176.0,688.0,17.59,1.29,1.35,0.05,0.11,5.63,7.62,2.84,2.32,65.19,682.0,652.0,0.03
TNR,11.0,0.92,3700.0,41.0,3330.0,,3.59,1.01,0.20,0.0,-19.31,-28.56,16.69,,24.05,,,
TOA,33.5,3.88,1901200.0,62788.0,66957.0,41.74,5.30,0.5,0.25,0.79,11.18,13.07,7.38,1.49,25.02,716.0,659.0,11.01
TOG,9.45,0.53,358600.0,3410.0,4553.0,11.29,2.15,0.5,0.43,0.85,13.14,19.33,14.24,6.35,38.77,281.0,276.0,0.23
TOP,56.75,0.0,3045800.0,173743.0,126212.0,3.86,0.81,1.79,1.70,14.63,13.22,27.75,8.03,6.52,51.96,76.0,135.0,-0.03
TOPP,161.0,0.0,100.0,16.0,966.0,10.63,0.62,0.17,4.05,15.15,5.69,6.02,5.8,2.52,21.43,607.0,506.0,-5.66
TPA,6.0,-0.83,100.0,1.0,729.0,,1.81,0.7,0.45,0.0,-2.92,-4.32,-3.65,7.50,23.56,,,
TPAC,14.8,1.37,330400.0,4926.0,4833.0,17.0,1.99,1.89,0.14,0.87,7.11,12.56,4.0,0.95,21.07,510.0,575.0,0.24
TPBI,4.38,0.92,283900.0,1232.0,1818.0,10.82,0.73,0.91,,0.4,4.69,6.94,2.79,,36.51,570.0,579.0,-0.05
TPCH,7.3,1.39,333100.0,2413.0,2929.0,16.92,0.96,1.38,0.18,0.43,4.75,4.19,6.77,2.51,55.44,884.0,782.0,-99.18
TPCS,21.3,0.0,900.0,19.0,2300.0,8.83,0.87,0.13,0.75,2.41,8.67,10.37,16.27,3.52,25.24,406.0,345.0,-0.05
TPIPL,1.74,-1.14,14017000.0,24256.0,32758.0,4.67,0.61,1.25,0.03,0.37,8.21,15.53,15.92,5.19,35.69,207.0,289.0,0.04
TPIPP,3.38,1.2,1813800.0,6102.0,28224.0,10.03,0.89,0.74,0.09,0.33,6.67,10.68,28.17,7.40,28.47,432.0,448.0,0.5
TPLAS,2.8,2.19,108100.0,302.0,761.0,21.13,2.39,0.2,0.10,0.13,11.87,11.52,5.76,3.57,28.74,596.0,478.0,1.69
TPOLY,1.38,0.73,153200.0,210.0,785.0,,0.65,2.16,,0.0,2.11,-16.02,-1.95,,56.71,,,
TPP,19.9,0.51,100.0,2.0,743.0,24.47,0.83,0.15,1.00,0.81,3.64,3.29,11.36,10.05,27.26,933.0,880.0,-0.27
TPS,3.32,1.22,156800.0,518.0,1116.0,15.45,2.57,0.94,0.08,0.21,11.42,17.5,8.7,2.41,34.47,391.0,401.0,-31.34
TQM,41.0,0.61,457800.0,18646.0,24600.0,29.87,10.73,0.55,0.70,1.37,26.29,35.75,21.81,2.99,41.39,463.0,453.0,0.85
TQR,11.5,0.88,15100.0,173.0,2668.0,37.74,5.71,0.18,0.14,0.31,17.24,15.27,40.43,2.77,25.43,655.0,544.0,0.75
TR,47.5,0.53,12000.0,567.0,9526.0,6.95,0.30,0.09,0.56,6.8,9.45,10.57,40.35,1.18,10.76,359.0,278.0,-0.14
TRC,0.77,0.0,131522100.0,101119.0,7286.0,,25.33,13.38,,0.0,-1.16,-27.7,-3.67,,69.73,,,
TRITN,0.18,5.88,3276500.0,570.0,2003.0,,1.29,0.77,,0.0,-11.7,-16.47,0.3,,82.99,,,
TRT,2.94,-0.68,284600.0,826.0,899.0,,0.89,1.86,0.12,0.0,-2.17,-8.15,-7.88,4.08,69.18,,,
TRU,6.0,0.84,225600.0,1352.0,3596.0,10.88,1.01,0.17,0.10,0.55,10.14,9.68,13.66,1.64,25.15,483.0,351.0,-0.39
TRUBB,2.02,2.54,2447600.0,4907.0,1652.0,3.08,0.46,1.16,0.15,0.66,9.01,16.03,4.36,7.43,61.33,187.0,248.0,6.72
TRUE,5.1,0.0,1171553.0,596795.0,170178.0,,2.29,7.3,0.07,0.0,2.38,-6.52,-4.9,1.37,,,,
TRUEE,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,31.77,,,
TRV,4.48,1.36,311100.0,1396.0,945.0,18.39,3.02,0.33,0.17,0.24,19.33,20.2,27.33,,30.51,411.0,348.0,
TSC,13.8,2.22,2300.0,31.0,3585.0,15.05,2.23,0.47,0.60,0.92,9.16,13.3,7.72,7.41,18.87,453.0,470.0,0.08
TSE,2.52,2.44,3397300.0,8501.0,5337.0,10.06,0.83,2.17,0.04,0.25,4.2,8.1,62.91,2.98,45.31,509.0,592.0,0.22
TSF,0.01,0.0,0.0,0.0,0.0,,,-1.2,0.5,0.0,-38.67,7.89,-85.18,,99.85,,,
TSI,0.31,0.0,4117500.0,1237.0,590.0,,1.72,2.13,,0.0,-1.89,-7.01,-5.91,,38.43,,,
TSR,4.02,6.35,6914600.0,27096.0,2209.0,31.27,1.70,0.31,,0.13,5.29,5.59,5.35,1.00,43.38,925.0,837.0,-14.11
TSTE,7.4,0.0,0.0,0.0,2875.0,17.83,0.81,0.49,0.06,0.42,4.73,4.67,7.32,2.70,25.59,802.0,710.0,1.7
TSTH,1.11,2.78,924400.0,1014.0,9432.0,11.46,0.74,0.18,0.05,0.1,5.71,6.58,2.47,4.50,27.0,602.0,528.0,-0.28
TTA,7.7,1.99,3006000.0,23130.0,14124.0,2.83,0.54,0.54,0.22,2.74,13.72,21.55,15.12,2.86,69.33,112.0,118.0,-0.02
TTB,1.4,2.94,215874200.0,299267.0,134519.0,10.24,0.63,7.49,0.02,0.14,0.74,6.22,21.55,2.71,31.36,592.0,796.0,1.14
TTCL,4.56,1.33,560800.0,2530.0,2797.0,4.19,0.78,4.41,,1.08,5.48,21.42,6.31,,72.43,125.0,399.0,-0.01
TTI,29.75,0.85,100.0,3.0,1488.0,10.51,0.59,0.49,0.50,2.83,5.25,5.78,5.45,1.69,32.73,616.0,538.0,0.08
TTT,50.5,2.02,200.0,10.0,2921.0,27.22,0.42,0.26,0.50,1.86,0.6,0.64,2.19,2.02,30.63,1046.0,1073.0,-0.35
TTW,9.5,0.53,1906100.0,18007.0,37706.0,12.52,2.71,0.49,0.30,0.75,18.14,21.97,56.06,6.32,36.11,289.0,254.0,2.64
TU,16.0,1.91,17596800.0,279582.0,76826.0,9.57,1.23,2.1,0.40,1.68,5.45,13.29,5.06,5.94,65.17,332.0,500.0,0.61
TVD,1.26,9.57,342728.0,42248.0,2157.0,,1.75,,,0.0,,,,,,,,
TVDH,0.71,1.43,3062500.0,2142.0,1198.0,,1.17,0.88,,0.0,-32.66,-49.8,-20.09,,64.01,,,
TVI,11.9,0.85,226600.0,2697.0,3606.0,15.89,2.02,4.32,0.70,0.75,2.5,13.04,4.07,5.88,28.4,479.0,820.0,0.11
TVO,29.0,0.87,734400.0,21123.0,25572.0,11.08,2.38,0.48,0.20,2.59,19.85,22.89,7.55,6.90,68.15,253.0,209.0,8.35
TVT,0.73,-1.35,97500.0,70.0,592.0,32.85,0.97,0.14,0.03,0.02,2.6,2.97,-0.84,4.11,35.73,1016.0,1003.0,-0.18
TWP,2.82,0.0,68000.0,191.0,761.0,27.81,0.46,0.3,0.07,0.1,1.73,1.66,-0.14,10.14,51.22,1019.0,1017.0,-0.1
